event,n_produced,n_wall,n_pmt,first_residual_ns
139,473628,462414,0,0.128569
140,8467604,8162737,0,0.26867
141,1535143,1449315,0,0.0805545
142,3317296,3247770,0,0.033918
143,964028,933607,0,0.041139
144,188322,186203,0,0.0164529
145,1882143,1846569,0,0.180809
146,137997,135324,0,0.0420449
147,557620,546036,0,0.0447554
148,24347,24092,0,0.0957467
149,62238,61178,0,0.0621194
150,1939975,1913949,0,0.185029
151,912586,882166,0,0.27672
152,8945629,8663372,0,0.0863085
153,34921048,33123029,0,0.0377795
154,1838068,1769245,0,0.524775
155,0,0,0,0
156,906765,866953,0,0.364689
157,938,907,0,0.426406
158,370604,362021,0,0.749366
159,117599,113078,0,0.0155675
160,313218,303901,0,0.149188
161,1464919,1434957,0,0.16375
162,11726052,11238525,0,0.251305
163,257707,252163,0,0.139055
164,56876,55433,0,0.331193
165,3448401,3387922,0,0.150447
166,221005,213451,0,0.0680186
167,1807183,1750322,0,0.217849
168,94944,92381,0,0.159619
169,12909,12805,0,0.0317338
170,556544,545901,0,0.0633468
171,1088094,1042032,0,0.143224
172,32910,32696,0,0.0681657
173,3757490,3569966,0,0.257804
174,2483422,2356256,0,0.344645
175,126796,121619,0,0.392795
176,3789,3768,0,0.0557655
177,4986975,4799310,0,0.0124328
178,24868,24490,0,0.162999
179,7478569,7128183,0,0.0909689
180,22,21,0,9.16878e-05
181,943956,918439,0,0.0842657
182,1856,1853,0,0.00455297
183,13195558,12544516,0,0.435718
184,474403,460503,0,0.145569
185,1647,1581,0,-0.00109716
186,1843100,1809876,0,0.181131
187,127150,125031,0,0.169216
188,6283856,6165053,0,-0.673715
189,1155667,1135233,0,0.234877
190,405903,391822,0,0.0269244
191,125963,124516,0,0.0339919
192,1332579,1276317,0,0.0285846
193,263401,257385,0,0.106538
194,875234,858071,0,0.0646359
195,335679,329390,0,0.390346
196,106951,105103,0,0.073833
197,20900685,20377671,0,0.5104
198,110992,109173,0,-0.295069
199,462234,453977,0,0.7997
200,0,0,0,0
201,814352,787441,0,1.17496
202,22851,22685,0,0.0300427
203,7969187,7549123,0,0.269526
204,29647,29471,0,0.0352171
205,5226123,4986967,0,0.308535
206,2002,2001,0,0.00950724
207,285167,281569,0,0.276855
208,4745,4668,0,0.366992
209,18643,18526,0,0.0703072
210,1338976,1290025,0,0.121355
211,741857,715008,0,0.334531
212,185987,180876,0,0.194941
213,6060,5987,0,0.00583572
214,9960,9853,0,0.0976771
215,3107970,2945496,0,0.0951861
216,65120,64699,0,0.0597674
217,179400,170981,0,0.220725
218,2022064,1983704,0,0.0289876
219,1213844,1172484,0,0.0401074
220,154313,149860,0,-0.0542889
221,508869,481772,0,0.141986
222,3607791,3532200,0,0.0686622
223,110141,109228,0,0.0400652
224,172809,170170,0,0.0344886
225,1455180,1423113,0,0.584294
226,586326,575302,0,0.0532967
227,188739,181481,0,0.16373
228,232302,230112,0,0.0578189
229,1641316,1570055,0,0.24804
230,2133973,2087995,0,0.0710046
231,5984253,5721845,0,0.28712
232,7906884,7605734,0,0.0653151
233,179003,177078,0,0.0384775
234,1586097,1517008,0,0.01158
235,1152781,1129601,0,0.324682
236,1471172,1443192,0,0.102654
237,17077,16758,0,0.220645
238,291649,285226,0,0.24205
239,2038591,1915069,0,0.155368
240,2590739,2437965,0,0.0389811
241,2746225,2693050,0,1.42387
242,885721,874260,0,0.241456
243,1078098,1061825,0,0.154492
244,1544,1525,0,0.0692351
245,400378,393031,0,0.0504677
246,764741,740588,0,-0.0432489
247,7098,7075,0,0.0657311
248,109444,105636,0,1.82946
249,3670095,3562320,0,0.492733
250,2808916,2725320,0,0.0464722
251,12531,12426,0,0.14801
252,54040,52553,0,0.0543152
253,1447930,1398451,0,0.319971
254,158664,156197,0,0.0773598
255,1891394,1805166,0,0.0860115
256,1699962,1650163,0,0.579441
257,103241,102629,0,0.00491962
258,56171,55251,0,0.179985
259,6697581,6565785,0,0.267438
260,14583,14202,0,0.0259819
261,1571028,1539328,0,0.0249549
262,1018941,1002245,0,0.0563129
263,815012,782454,0,-0.00255463
264,601665,587762,0,5.25107
265,191474,189735,0,0.0238407
266,25386,25004,0,-0.181863
267,575493,571388,0,0.0654272
268,547038,525420,0,0.0875534
269,96129,91806,0,0.457678
270,279038,272235,0,0.0486703
271,92659428,87900442,0,0.0164994
272,4673661,4535913,0,0.253552
273,156552,155257,0,0.17504
274,622018,596583,0,0.0445315
275,328,325,0,0.000645474
276,2130168,2015388,0,0.167914
277,1540473,1498523,0,0.139678
278,581019,552046,0,0.15444
279,3673039,3508876,0,0.150208
280,15052,14954,0,0.0315766
281,1670121,1632359,0,0.457511
282,2088038,2008238,0,0.0614529
283,442216,425411,0,0.0413994
284,328475,322054,0,0.113089
285,1028492,991541,0,0.129846
286,18264,18159,0,0.0817742
287,283671,279219,0,0.239845
288,40897410,39473234,0,-0.0524362
289,5626,5507,0,0.0454084
